fr24_id,flight,callsign,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source,hex,type,reg,painted_as,operating_as,orig_iata,orig_icao,dest_iata,dest_icao,eta,queried_timestamp
3ba96087,FR6516,RYR91RF,47.39525,19.33862,312,1000,154,-768,1000,2025-08-10T05:39:59Z,ADSB,4CADF0,B38M,EI-IHF,RYR,RYR,CIA,LIRA,BUD,LHBP,2025-08-10T05:41:39Z,1754804400
3ba9849e,W42333,WMT2333,47.4506,19.06283,205,6600,272,2816,1000,2025-08-10T05:49:58Z,ADSB,4D242B,A21N,9H-WAW,WZZ,WMT,BUD,LHBP,MXP,LIMC,2025-08-10T07:10:56Z,1754805000
3ba983da,BA865,BAW16HV,47.45677,19.20767,312,1250,166,2944,4224,2025-08-10T05:49:58Z,ADSB,400879,A319,G-EUPJ,BAW,BAW,BUD,LHBP,LHR,EGLL,2025-08-10T07:55:44Z,1754805000
3ba94f82,FR7603,RYR818B,47.41653,19.30441,312,450,158,-896,6131,2025-08-10T05:49:59Z,MLAT,4CA4EA,B738,EI-DPF,RYR,RYR,ARN,ESSA,BUD,LHBP,2025-08-10T05:50:54Z,1754805000
3ba99282,,HAACN,47.28632,18.97979,332,2900,118,640,7052,2025-08-10T06:09:58Z,MLAT,473A01,C402,HA-ACN,,,QHI,LHKK,,,,1754806200
3ba8e341,KJ775,AIH775,47.36229,19.06056,294,33750,454,-1216,1000,2025-08-10T06:19:59Z,MLAT,71BC17,B744,HL7417,AIH,AIH,ALA,UAAA,VIE,LOWW,2025-08-10T06:43:12Z,1754806800
3ba97068,FR8326,RYR3HR,47.31578,19.46915,307,3275,199,-1152,1000,2025-08-10T06:19:59Z,ADSB,4CA806,B738,EI-EKH,RYR,RYR,MXP,LIMC,BUD,LHBP,2025-08-10T06:23:17Z,1754806800
3ba99706,,HASKD000,47.58641,19.25442,290,1700,86,0,7000,2025-08-10T06:19:59Z,MLAT,47308F,C172,HA-SKD,,,,,,,,1754806800
3ba974b2,LH1334,DLH3MM,47.46662,19.40566,132,5975,290,-1280,1000,2025-08-10T06:19:59Z,ADSB,3C6758,A320,D-AIZX,RYR,RYR,FRA,EDDF,BUD,LHBP,2025-08-10T06:26:42Z,1754806800
3ba941ac,QS1341,TVS34Q,47.2731,19.54109,340,33975,440,64,4504,2025-08-10T06:29:59Z,ADSB,511153,A320,ES-SAY,TVS,MYX,HRG,HEGN,OSR,LKMT,2025-08-10T07:02:24Z,1754807400
3ba99706,,HASKD000,47.56251,19.06679,18,1700,91,-704,7020,2025-08-10T06:29:59Z,MLAT,47308F,C172,HA-SKD,,,,,,,,1754807400
3ba997ba,FR6515,RYR91BE,47.49289,19.13194,288,3275,222,2432,1000,2025-08-10T06:29:59Z,ADSB,4CADF0,B38M,EI-IHF,RYR,RYR,BUD,LHBP,CIA,LIRA,,1754807400
3ba99e32,LO534,LOT5LP,47.57569,19.05205,320,6275,276,640,1000,2025-08-10T06:39:59Z,ADSB,48978A,E170,SP-LDK,LOT,LOT,BUD,LHBP,WAW,EPWA,2025-08-10T07:28:00Z,1754808000
3ba99eb4,FR7604,RYR47RD,47.49486,19.15212,321,2900,226,2624,4205,2025-08-10T06:39:59Z,ADSB,4CA4EA,B738,EI-DPF,RYR,RYR,BUD,LHBP,ARN,ESSA,2025-08-10T08:32:00Z,1754808000
3ba98990,LH1684,DLH7AH,47.28264,19.31081,117,2775,199,-64,1000,2025-08-10T06:39:59Z,ADSB,3C666A,A321,D-AISJ,RYR,RYR,MUC,EDDM,BUD,LHBP,2025-08-10T06:43:01Z,1754808000
3ba9877e,FR4143,RYR78BM,47.50887,19.33724,132,8525,277,-1088,1000,2025-08-10T06:39:58Z,ADSB,48C133,B738,SP-RKU,RYR,RYS,PRG,LKPR,BUD,LHBP,2025-08-10T06:48:18Z,1754808000
3ba9a622,,,47.4525,18.91286,272,1600,51,-192,7001,2025-08-10T06:49:59Z,MLAT,471298,H269,HA-HBC,,,QHU,LHBS,,,,1754808600
3ba9a17a,BT492,BTI6YC,47.48878,19.15825,320,3500,164,1664,1000,2025-08-10T06:49:59Z,ADSB,4A0441,A319,YR-ABA,KRP,KRP,BUD,LHBP,RIX,EVRA,,1754808600
3ba96939,FR220,RYR22WC,47.36048,19.39467,312,1975,181,-832,0542,2025-08-10T06:49:58Z,ADSB,4CADC4,B38M,EI-IGG,RYR,RYR,EMA,EGNX,BUD,LHBP,2025-08-10T06:51:36Z,1754808600
3ba977d1,6B697,BLX697,47.37621,19.40419,158,37000,472,0,4564,2025-08-10T06:49:59Z,ADSB,4AC9C4,B38M,SE-RND,TUI,BLX,GOT,ESGG,CHQ,LGSA,2025-08-10T08:40:32Z,1754808600
